Dia,Localidade,Temperatura Media do ar,Abertura de Apps (Total),Notificacoes (Total),Desbloqueios (Total),0-3am,3-6am,6-9am,9am-12pm,12-3pm,3-6pm,6-9pm,9pm-0am,Enviados (Total),Recebidos (Total),1 email enviado (timestamp),ultimo email enviado (timestamp),Total (efetuadas + recebidas),1 chamada (timestamp),ultima chamada (timestamp),Total (recebidas + enviadas),Total apos 0h (recebidas + enviadas),1 mensagem (timestamp),ultima mensagem (timestamp)
18/01/2023,Guarda,6,252,364,68,52,0,4,49,47,81,64,39,0,9,,,7,00:10,23:02,182,12,,
19/01/2023,Satao,8,171,293,63,33,0,0,23,39,60,68,22,1,6,14:46,14:46,12,13:36,23:55,89,15,,
20/01/2023,Satao,14,168,243,40,61,21,0,1,72,80,10,3,0,7,,,5,13:23,20:41,57,9,,
21/01/2023,Satao,12,5,150,226,38,213,14,4,10,107,13,130,53,1,8,14:46,14:46,0,,,48,2,,
22/01/2023,Satao,10,192,240,77,24,0,5,86,54,55,22,68,0,5,,,8,18:12,20:29,90,5,,
23/01/2023,Guarda,6,145,317,56,63,0,7,21,26,9,18,10,0,4,,,6,12:48,23:48,79,9,,
24/01/2023,Guarda,4,273,435,79,109,0,0,10,57,46,110,72,1,8,17:29,17:29,8,10:33,21:25,63,,,
25/01/2023,Guarda,3,217,288,74,11,0,25,61,28,21,28,64,3,3,11:30,23:04,9,09:42,21:03,77,5,,
26/01/2023,Guarda,6,260,534,97,69,1,0,30,88,55,36,87,0,8,,,11,13:31,22:56,116,15,,
27/01/2023,Viseu,9,214,347,84,108,0,9,25,17,21,21,20,1,6,21:09,21:09,15,13:23,23:08,101,14,,
28/01/2023,Viseu,7,194,300,110,41,10,0,37,54,6,36,18,0,4,,,16,12:18,23:04,102,16,,
29/01/2023,Satao,6,89,351,34,22,23,0,7,56,96,20,22,0,0,,,7,14:30,22:20,80,8,,
30/01/2023,Satao,8,111,210,38,1,0,0,0,38,52,11,1,0,6,,,9,13:26,21:54,79,4,,
31/01/2023,Satao,8,167,265,58,53,51,0,57,37,7,41,0,2,10,01:52,02:12,7,11:21,21:38,62,1,,
01/02/2023,Guarda,5,183,282,53,1,24,0,0,51,32,76,8,0,2,,,29,13:22,23:57,114,11,,
02/02/2023,Guarda,7,194,488,65,69,0,0,12,13,14,21,34,0,5,,,16,00:57,23:37,130,19,,
