timestamp,rmssd,coverage,low_frequency,high_frequency
2023-01-31T05:05:00,49.138,0.889,1443.94,375.598
2023-01-31T05:45:00,39.653,0.973,555.297,475.924
2023-01-31T05:50:00,41.994,1.002,735.963,536.411
2023-01-31T05:55:00,42.542,0.987,1796.267,543.345
2023-01-31T06:00:00,36.082,0.991,1954.174,401.529
2023-01-31T06:05:00,34.844,1.006,590.424,383.227
2023-01-31T06:10:00,37.176,0.974,514.949,425.328
2023-01-31T06:15:00,41.768,0.986,645.891,529.542
2023-01-31T06:20:00,36.304,0.982,834.612,432.723
2023-01-31T06:25:00,36.116,0.975,699.933,404.724
2023-01-31T06:30:00,39.429,0.982,508.587,512.919
2023-01-31T06:35:00,36.993,0.994,622.807,377.708
2023-01-31T06:55:00,52.052,0.834,3955.267,657.034
2023-01-31T07:00:00,36.994,0.925,1423.38,171.97
2023-01-31T07:05:00,21.559,0.993,1047.258,72.77
2023-01-31T07:10:00,24.494,0.998,1057.985,158.552
2023-01-31T07:15:00,31.877,0.951,812.77,281.635
2023-01-31T07:20:00,31.899,1.003,433.543,269.867
2023-01-31T07:25:00,31.411,1.003,397.303,305.68
2023-01-31T07:30:00,33.988,1.004,558.432,342.063
2023-01-31T07:35:00,36.403,1.005,993.619,421.759
2023-01-31T07:40:00,38.506,1.001,1590.176,379.482
2023-01-31T07:45:00,39.25,0.966,679.559,389.056
2023-01-31T07:50:00,48.232,0.961,1384.473,535.287
2023-01-31T07:55:00,40.375,0.992,2487.547,581.895
2023-01-31T08:00:00,39.721,1.004,528.717,481.997
2023-01-31T08:05:00,43.413,1.003,1467.719,700.238
2023-01-31T08:10:00,48.803,0.966,2990.932,784.105
2023-01-31T08:15:00,45.511,0.968,598.41,567.091
2023-01-31T08:20:00,32.85,0.999,1088.934,303.052
2023-01-31T08:25:00,26.709,0.923,2590.844,195.164
2023-01-31T08:30:00,37.414,0.83,922.201,322.798
2023-01-31T08:35:00,38.076,0.909,852.492,353.467
2023-01-31T08:40:00,35.062,0.989,1049.44,301.444
2023-01-31T08:45:00,35.766,1.003,815.713,408.936
2023-01-31T08:50:00,33.147,1.003,460.583,308.093
2023-01-31T08:55:00,32.275,0.98,669.999,336.757
2023-01-31T09:00:00,53.901,0.89,1899.245,530.79
2023-01-31T09:05:00,45.86,1.006,1093.787,594.054
2023-01-31T09:10:00,47.938,0.999,1436.833,709.774
2023-01-31T09:15:00,52.229,0.961,2269.314,772.885
2023-01-31T09:20:00,52.478,0.962,2599.867,815.381
2023-01-31T09:25:00,52.206,0.978,1231.547,801.837
2023-01-31T09:30:00,47.701,0.904,1540.944,499.796
2023-01-31T09:35:00,37.088,0.964,1906.353,341.936
2023-01-31T09:40:00,30.953,0.945,1153.723,209.923
2023-01-31T09:45:00,20.634,1.004,898.9,86.682
2023-01-31T09:50:00,33.679,0.99,1531.19,172.609
2023-01-31T09:55:00,35.906,0.989,1065.933,330.644
2023-01-31T10:00:00,40.076,0.937,2302.312,450.085
2023-01-31T10:05:00,40.385,0.987,949.71,438.872
2023-01-31T10:10:00,44.866,0.973,919.002,688.261
2023-01-31T10:15:00,42.855,1.003,1191.04,508.864
2023-01-31T10:20:00,45.293,1.0,657.411,730.252
2023-01-31T10:25:00,45.03,1.004,892.772,659.759
2023-01-31T10:30:00,43.125,1.001,652.201,617.676
2023-01-31T10:35:00,45.608,0.999,1105.892,709.414
2023-01-31T10:50:00,80.511,0.928,5453.051,2063.054
2023-01-31T10:55:00,70.21,0.909,3862.228,1171.849
2023-01-31T11:05:00,42.272,0.821,10581.505,1354.269
